# CASATI.DAT
# ID|NOME|TERRITORIO|DAL|AL|NOTE|ID_FONTE
C000001|GIARDINA|SICILIA|1700||CASATO PRINCIPALE|S000001
C000002|NEGRINI|SICILIA|1750||CASATO COLLEGATO|S000001
