# CASATI_TITOLI.DAT
# ID|CASATO|ID_TITOLO|DAL|AL|MODALITA|NOTE
CT000001|C000001|T000001|1700-01-01||EREDITARIO|CASATO_GIARDINA
CT000002|C000002|T000002|1750-01-01||USO_STORICO|CASATO_NEGRINI
