# EVENTI.DAT
# ID|TIPO|DATA|LUOGO|ID_PERSONA|ID_FAMIGLIA|ID_FONTE|NOTE
E000073|MARR|1810|Palermo, Sicilia, Italy||F000013|S000001|IMPORT_RMTREE
E000074|BIRT|1786|Palermo, Palermo, Sicilia, Italia|P000035||S000001|IMPORT_RMTREE
E000075|DEAT|1829-07-13|Palermo, Palermo, Sicilia, Italia|P000035||S000001|IMPORT_RMTREE
E000076|BIRT|1785|Palermo, Sicilia, Italia|P000036||S000001|IMPORT_RMTREE
E000077|DEAT|||P000036||S000001|IMPORT_RMTREE
E000078|BIRT|1844-01-03|Palermo, Sicilia, Italia|P000037||S000001|IMPORT_RMTREE
E000079|DEAT|||P000037||S000001|IMPORT_RMTREE
E000080|BIRT|1856-03-28|Palermo, Sicilia, Italia|P000038||S000001|IMPORT_RMTREE
E000081|DEAT|||P000038||S000001|IMPORT_RMTREE
E000082|BIRT|1845-03-18|Palermo, Sicilia, Italia|P000039||S000001|IMPORT_RMTREE
E000083|DEAT|||P000039||S000001|IMPORT_RMTREE
E000084|MARR|1866-01-27|Palermo, Sicilia, Italia||F000014|S000001|IMPORT_RMTREE
E000085|BIRT|1680|Palermo, Provincia di Palermo, Sicilia, Italia.|P000040||S000001|IMPORT_RMTREE
E000086|DEAT|1738-08-28|Palermo, Provincia di Palermo, Sicilia, Italia.|P000040||S000001|IMPORT_RMTREE
E000087|BIRT|1686-03-19|Palermo, Provincia di Palermo, Sicilia, Italia.|P000041||S000001|IMPORT_RMTREE
E000088|DEAT|||P000041||S000001|IMPORT_RMTREE
E000089|BIRT|1823-01-20|Palermo, Sicilia, Italia|P000042||S000001|IMPORT_RMTREE
E000090|DEAT|||P000042||S000001|IMPORT_RMTREE
E000091|BIRT|1852-10-21|Palermo, Sicilia, Italia|P000043||S000001|IMPORT_RMTREE
E000092|DEAT|||P000043||S000001|IMPORT_RMTREE
E000093|MARR|1870-08-29|Palermo, Sicilia, Italia||F000019|S000001|IMPORT_RMTREE
E000094|BIRT|1780|Palermo, Palermo, Sicilia, Italia|P000044||S000001|IMPORT_RMTREE
E000095|DEAT|||P000044||S000001|IMPORT_RMTREE
E000096|BIRT|1825-01-17|Palermo, Sicilia, Italy|P000045||S000001|IMPORT_RMTREE
E000097|DEAT|||P000045||S000001|IMPORT_RMTREE
E000098|MARR|1846|Palermo, Sicilia, Italy||F000022|S000001|IMPORT_RMTREE
E000099|DEAT|||P000046||S000001|IMPORT_RMTREE
E000100|BIRT|1807|Palermo, Sicilia, Italia|P000047||S000001|IMPORT_RMTREE
E000101|DEAT|||P000047||S000001|IMPORT_RMTREE
E000102|MARR|1827-11-22|Palermo, Palermo, Sicilia, Italia||F000023|S000001|IMPORT_RMTREE
E000103|BIRT|1815|Palermo, Sicilia, Italia|P000048||S000001|IMPORT_RMTREE
E000104|DEAT|||P000048||S000001|IMPORT_RMTREE
E000105|MARR|1835-11-22|Palermo, Sicilia, Italia||F000024|S000001|IMPORT_RMTREE
E000106|BIRT|1840-03-26|Palermo, Sicilia, Italia|P000049||S000001|IMPORT_RMTREE
E000107|DEAT|||P000049||S000001|IMPORT_RMTREE
E000108|BIRT|1725||P000050||S000001|IMPORT_RMTREE
E000109|DEAT|||P000050||S000001|IMPORT_RMTREE
E000110|BIRT|1710|Palermo, Provincia di Palermo, Sicilia, Italia.|P000051||S000001|IMPORT_RMTREE
E000111|DEAT|1796-07-01|Palermo, Provincia di Palermo, Sicilia, Italia.|P000051||S000001|IMPORT_RMTREE
E000112|BIRT|1715|Palermo, Provincia di Palermo, Sicilia, Italia.|P000052||S000001|IMPORT_RMTREE
E000113|DEAT|1776|Palermo, Provincia di Palermo, Sicilia, Italia.|P000052||S000001|IMPORT_RMTREE
E000114|BIRT|1659|Palermo, Provincia di Palermo, Sicilia, Italia.|P000053||S000001|IMPORT_RMTREE
E000115|DEAT|||P000053||S000001|IMPORT_RMTREE
E000116|BIRT|1825|Palermo, Sicilia, Italy|P000054||S000001|IMPORT_RMTREE
E000117|DEAT|||P000054||S000001|IMPORT_RMTREE
E000118|MARR|1841-09-10|Palermo, Sicilia, Italia||F000025|S000001|IMPORT_RMTREE
E000119|DEAT|1995|Toronto, Ontario, Canada|P000055||S000001|IMPORT_RMTREE
E000120|BIRT|1668|Palermo, Provincia di Palermo, Sicilia, Italia.|P000056||S000001|IMPORT_RMTREE
E000121|DEAT|||P000056||S000001|IMPORT_RMTREE
E000122|BIRT|1640|Palermo, Provincia di Palermo, Sicilia, Italia.|P000057||S000001|IMPORT_RMTREE
E000123|DEAT|||P000057||S000001|IMPORT_RMTREE
E000124|BIRT|1650|Palermo, Sicilia, Itália|P000058||S000001|IMPORT_RMTREE
E000125|DEAT|||P000058||S000001|IMPORT_RMTREE
E000126|BIRT|1794|<Sant'Orsola, Palermo, Sicilia, Italia>|P000059||S000001|IMPORT_RMTREE
E000127|DEAT|||P000059||S000001|IMPORT_RMTREE
E000128|BIRT|1814|Palermo, Sicilia, Italy|P000060||S000001|IMPORT_RMTREE
E000129|DEAT|1890-10-31|Palermo, Sicilia, Italia|P000060||S000001|IMPORT_RMTREE
E000130|BIRT|1780|Palermo, Sicilia, Italia|P000061||S000001|IMPORT_RMTREE
E000131|DEAT|||P000061||S000001|IMPORT_RMTREE
E000132|BIRT|1846-03-29|Palermo, Sicilia, Italia|P000062||S000001|IMPORT_RMTREE
E000133|DEAT|||P000062||S000001|IMPORT_RMTREE
E000134|BIRT|1805|Palermo, Sicilia, Italia|P000063||S000001|IMPORT_RMTREE
E000135|DEAT|||P000063||S000001|IMPORT_RMTREE
E000136|BIRT|1610|Naro, Provincia di Agrigento, Sicilia, Italia.|P000064||S000001|IMPORT_RMTREE
E000137|DEAT|1667-11-24|Naro, Provincia di Agrigento, Sicilia, Italia.|P000064||S000001|IMPORT_RMTREE
E000138|BIRT|1620||P000065||S000001|IMPORT_RMTREE
E000139|DEAT|||P000065||S000001|IMPORT_RMTREE
E000140|BIRT|1668|Palermo, Provincia di Palermo, Sicilia, Italia.|P000066||S000001|IMPORT_RMTREE
E000141|DEAT|1752|Palermo, Provincia di Palermo, Sicilia, Italia.|P000066||S000001|IMPORT_RMTREE
E000142|MARR|1689-11-14|Palermo, Provincia di Palermo, Sicilia, Italia.||F000029|S000001|IMPORT_RMTREE
E000143|BIRT|1815|Palermo, Sicilia, Italia|P000067||S000001|IMPORT_RMTREE
E000144|DEAT|||P000067||S000001|IMPORT_RMTREE
E000145|BIRT|1620||P000068||S000001|IMPORT_RMTREE
E000146|DEAT|1704-11-14|Palermo, Provincia di Palermo, Sicilia, Italia.|P000068||S000001|IMPORT_RMTREE
E000147|MARR|1644|Palermo, Italy||F000027|S000001|IMPORT_RMTREE
E000148|BIRT|1680||P000069||S000001|IMPORT_RMTREE
E000149|DEAT|1763-07-13||P000069||S000001|IMPORT_RMTREE
E000150|BIRT|1821-05-04|Palermo, Sicilia, Italy|P000070||S000001|IMPORT_RMTREE
E000151|DEAT|1891-03-05|Palermo, Sicilia, Italia|P000070||S000001|IMPORT_RMTREE
E000152|BIRT|1624||P000071||S000001|IMPORT_RMTREE
E000153|DEAT|1668-11-22|Naro, Provincia di Agrigento, Sicilia, Italia.|P000071||S000001|IMPORT_RMTREE
E000154|BIRT|1585||P000072||S000001|IMPORT_RMTREE
E000155|DEAT|||P000072||S000001|IMPORT_RMTREE
E000156|BIRT|1580||P000073||S000001|IMPORT_RMTREE
E000157|DEAT|||P000073||S000001|IMPORT_RMTREE
E000158|BIRT|1580||P000074||S000001|IMPORT_RMTREE
E000159|DEAT|||P000074||S000001|IMPORT_RMTREE
E000160|BIRT|1580||P000075||S000001|IMPORT_RMTREE
E000161|DEAT|1648||P000075||S000001|IMPORT_RMTREE
E000162|BIRT|1658|Roccella, Palermo, Sicília, Itália.|P000076||S000001|IMPORT_RMTREE
