# FONTI.DAT
# ID|TIPO|TITOLO|DATA_DOCUMENTO|ARCHIVIO|RIFERIMENTO|URL|NOTE
S000001|GEDCOM|ALBERO GENEALOGICO GIARDINA-NEGRINI|2026-03-01|ARCHIVIO FAMILIARE|GED-001||FONTE BASE DEL PROGETTO
S000002|REPORT|ANALISI RAMO GIARDINA|2026-03-01|PORTALE_GN|RPT-GN200||ESTRATTO DA SCHEDA GIARDINA
S000003|REPORT|ANALISI RAMO NEGRINI|2026-03-01|PORTALE_GN|RPT-GN300||ESTRATTO DA SCHEDA NEGRINI
